City,Forecast
Fountain Valley,1.42190164990061
Buena Park,1.71820499609826
Mission Viejo,0.65194330748977
San Clemente,0.916497344020279
La Palma,1.64187879158877
Rancho Santa Margarita,0.861190777762061
Silverado,0.407341727445416
Anaheim,1.4710907822138
Brea,1.40388246579688
Coto de Caza,0.949455894510493
Dana Point,1.38898422735167
La Habra,2.03113101886686
Yorba Linda,1.20976092235869
Fullerton,1.21191779669753
Garden Grove,1.78617870619178
Huntington Beach,0.859034182053126
Laguna Hills,0.970633939890401
Laguna Niguel,0.768300168037268
Placentia,1.29705960210226
Tustin,1.2678293576077
Lake Forest,1.04037854682361
Orange,1.6120144422107
San Juan Capistrano,0.331335565982107
Westminster,1.32858133169964
Aliso Viejo,1.30023072664966
Costa Mesa,1.35687719467956
Newport Coast,0.762387673869296
North Tustin,2.14928104467429
Stanton,1.09940621081322
Cypress,1.44537606816992
Laguna Woods,1.1196255014617
Los Alamitos,1.26269088888212
Santa Ana,2.52722751488661
Irvine,0.93329029953088
Ladera Ranch,0.566107024289171
Newport Beach,1.7740275277115
Seal Beach,1.20398418266208
Villa Park,0.933355932969832
